x 	 analitycal w t = 0.5	PCMN_LU w t = 0.5	analitycal w t = 1	PCMN_LU w t = 1	analitycal w t = 1.9999	PCMN_LU w t = 1.9999
2.22	0.899791	0.899811	0.825082	0.825092	0.755923	0.755927
2.23	0.90193	0.90195	0.827605	0.827615	0.7585	0.758505
2.24	0.904029	0.904049	0.830094	0.830105	0.76105	0.761055
2.25	0.906089	0.906109	0.832552	0.832562	0.763573	0.763578
2.26	0.908111	0.908131	0.834976	0.834987	0.766069	0.766074
2.27	0.910095	0.910114	0.837369	0.83738	0.768538	0.768543
2.28	0.912042	0.912061	0.839731	0.839741	0.770981	0.770986
2.29	0.913952	0.913971	0.842061	0.842072	0.773399	0.773403
2.3	0.915826	0.915844	0.844361	0.844371	0.775791	0.775795
2.31	0.917664	0.917683	0.84663	0.84664	0.778157	0.778162
2.32	0.919468	0.919486	0.848869	0.84888	0.780499	0.780503
2.33	0.921237	0.921255	0.851079	0.851089	0.782816	0.78282
2.34	0.922972	0.92299	0.85326	0.85327	0.785108	0.785113
2.35	0.924674	0.924692	0.855412	0.855422	0.787377	0.787381
2.36	0.926343	0.926361	0.857535	0.857545	0.789621	0.789626
2.37	0.92798	0.927998	0.85963	0.85964	0.791843	0.791847
2.38	0.929585	0.929603	0.861698	0.861708	0.794041	0.794045
2.39	0.931159	0.931176	0.863738	0.863748	0.796216	0.79622
2.4	0.932703	0.93272	0.86575	0.865761	0.798368	0.798373
2.41	0.934216	0.934232	0.867737	0.867747	0.800498	0.800503
2.42	0.935699	0.935716	0.869697	0.869707	0.802606	0.802611
2.43	0.937153	0.93717	0.87163	0.87164	0.804692	0.804697
2.44	0.938579	0.938595	0.873538	0.873548	0.806757	0.806761
2.45	0.939976	0.939992	0.875421	0.875431	0.8088	0.808804
2.46	0.941345	0.941361	0.877278	0.877288	0.810822	0.810826
2.47	0.942688	0.942703	0.879111	0.87912	0.812823	0.812827
2.48	0.944003	0.944018	0.880919	0.880928	0.814803	0.814808
2.49	0.945291	0.945306	0.882702	0.882712	0.816763	0.816767
2.5	0.946554	0.946569	0.884462	0.884472	0.818703	0.818707
2.51	0.947791	0.947806	0.886199	0.886208	0.820622	0.820627
2.52	0.949004	0.949018	0.887911	0.887921	0.822523	0.822527
2.53	0.950191	0.950205	0.889601	0.889611	0.824403	0.824408
2.54	0.951354	0.951368	0.891268	0.891278	0.826264	0.826269
2.55	0.952494	0.952507	0.892913	0.892922	0.828107	0.828111
2.56	0.953609	0.953623	0.894535	0.894545	0.82993	0.829934
2.57	0.954702	0.954716	0.896136	0.896145	0.831735	0.831739
2.58	0.955773	0.955786	0.897715	0.897724	0.833521	0.833525
2.59	0.956821	0.956833	0.899272	0.899281	0.835289	0.835293
2.6	0.957847	0.957859	0.900808	0.900817	0.837039	0.837043
2.61	0.958851	0.958864	0.902323	0.902332	0.838771	0.838775
2.62	0.959835	0.959847	0.903818	0.903827	0.840485	0.84049
2.63	0.960798	0.96081	0.905292	0.905301	0.842182	0.842187
2.64	0.96174	0.961752	0.906746	0.906755	0.843862	0.843866
2.65	0.962663	0.962675	0.908181	0.90819	0.845525	0.845529
2.66	0.963566	0.963578	0.909595	0.909604	0.84717	0.847175
2.67	0.96445	0.964461	0.910991	0.910999	0.848799	0.848804
2.68	0.965314	0.965326	0.912367	0.912375	0.850412	0.850416
2.69	0.966161	0.966172	0.913724	0.913732	0.852008	0.852012
2.7	0.966989	0.966999	0.915062	0.915071	0.853588	0.853592
2.71	0.967799	0.967809	0.916382	0.916391	0.855152	0.855156
2.72	0.968591	0.968602	0.917684	0.917692	0.8567	0.856704
2.73	0.969366	0.969377	0.918968	0.918976	0.858232	0.858236
2.74	0.970124	0.970135	0.920234	0.920242	0.859749	0.859753
2.75	0.970866	0.970876	0.921482	0.92149	0.86125	0.861255
2.76	0.971591	0.971601	0.922713	0.922721	0.862736	0.862741
2.77	0.972301	0.97231	0.923927	0.923935	0.864208	0.864212
2.78	0.972994	0.973004	0.925123	0.925131	0.865664	0.865668
2.79	0.973672	0.973682	0.926304	0.926312	0.867106	0.86711
2.8	0.974335	0.974345	0.927467	0.927475	0.868533	0.868537
2.81	0.974984	0.974993	0.928615	0.928622	0.869945	0.86995
2.82	0.975617	0.975626	0.929746	0.929753	0.871344	0.871348
2.83	0.976237	0.976245	0.930861	0.930869	0.872728	0.872732
2.84	0.976842	0.976851	0.93196	0.931968	0.874098	0.874103
2.85	0.977434	0.977442	0.933044	0.933052	0.875455	0.875459
2.86	0.978012	0.97802	0.934113	0.934121	0.876798	0.876802
2.87	0.978577	0.978585	0.935167	0.935174	0.878127	0.878131
2.88	0.979129	0.979137	0.936205	0.936213	0.879443	0.879447
2.89	0.979669	0.979676	0.937229	0.937236	0.880745	0.880749
2.9	0.980195	0.980203	0.938238	0.938245	0.882034	0.882039
2.91	0.98071	0.980718	0.939233	0.93924	0.883311	0.883315
2.92	0.981213	0.98122	0.940214	0.940221	0.884574	0.884578
2.93	0.981704	0.981711	0.94118	0.941187	0.885825	0.885829
2.94	0.982184	0.982191	0.942133	0.94214	0.887063	0.887067
2.95	0.982652	0.982659	0.943072	0.943079	0.888289	0.888293
2.96	0.98311	0.983116	0.943997	0.944004	0.889502	0.889506
2.97	0.983556	0.983563	0.944909	0.944916	0.890703	0.890707
2.98	0.983992	0.983999	0.945808	0.945815	0.891892	0.891896
2.99	0.984418	0.984424	0.946694	0.946701	0.893069	0.893073
3	0.984833	0.98484	0.947567	0.947574	0.894234	0.894238
3.01	0.985239	0.985245	0.948427	0.948434	0.895387	0.895391
3.02	0.985635	0.985641	0.949275	0.949282	0.896529	0.896533
3.03	0.986021	0.986027	0.95011	0.950117	0.897659	0.897663
3.04	0.986398	0.986404	0.950934	0.95094	0.898778	0.898781
3.05	0.986766	0.986771	0.951745	0.951751	0.899885	0.899889
3.06	0.987125	0.98713	0.952544	0.95255	0.900981	0.900985
