t 	 error 
0.02285	-3.34879
0.0229	-3.34983
0.02295	-3.35086
0.023	-3.35189
0.02305	-3.35292
0.0231	-3.35395
0.02315	-3.35497
0.0232	-3.356
0.02325	-3.35702
0.0233	-3.35804
0.02335	-3.35907
0.0234	-3.36009
0.02345	-3.3611
0.0235	-3.36212
0.02355	-3.36314
0.0236	-3.36415
0.02365	-3.36512
0.0237	-3.36609
0.02375	-3.36706
0.0238	-3.36802
0.02385	-3.36899
0.0239	-3.36995
0.02395	-3.37092
0.024	-3.37188
0.02405	-3.37284
0.0241	-3.3738
0.02415	-3.37476
0.0242	-3.37572
0.02425	-3.37667
0.0243	-3.37763
0.02435	-3.37858
0.0244	-3.37954
0.02445	-3.38049
0.0245	-3.38144
0.02455	-3.38239
0.0246	-3.38334
0.02465	-3.38428
0.0247	-3.38523
0.02475	-3.38617
0.0248	-3.38712
0.02485	-3.38806
0.0249	-3.389
0.02495	-3.38994
0.025	-3.39088
0.02505	-3.39182
0.0251	-3.39275
0.02515	-3.39369
0.0252	-3.39462
0.02525	-3.39556
0.0253	-3.39649
0.02535	-3.39742
0.0254	-3.39835
0.02545	-3.39928
0.0255	-3.40021
0.02555	-3.40113
0.0256	-3.40206
0.02565	-3.40298
0.0257	-3.40391
0.02575	-3.40483
0.0258	-3.40575
0.02585	-3.40667
0.0259	-3.40759
0.02595	-3.40851
0.026	-3.40942
0.02605	-3.41034
0.0261	-3.41125
0.02615	-3.41217
0.0262	-3.41308
0.02625	-3.41399
0.0263	-3.4149
0.02635	-3.41581
0.0264	-3.41672
0.02645	-3.41761
0.0265	-3.41848
0.02655	-3.41935
0.0266	-3.42022
0.02665	-3.42109
0.0267	-3.42195
0.02675	-3.42282
0.0268	-3.42368
0.02685	-3.42455
0.0269	-3.42541
0.02695	-3.42627
0.027	-3.42713
0.02705	-3.42799
0.0271	-3.42885
0.02715	-3.42971
0.0272	-3.43056
0.02725	-3.43142
0.0273	-3.43228
0.02735	-3.43313
0.0274	-3.43398
0.02745	-3.43483
0.0275	-3.43569
0.02755	-3.43654
0.0276	-3.43739
0.02765	-3.43823
0.0277	-3.43908
0.02775	-3.43993
0.0278	-3.44077
0.02785	-3.44162
0.0279	-3.44246
0.02795	-3.4433
0.028	-3.44415
0.02805	-3.44499
0.0281	-3.44583
0.02815	-3.44667
0.0282	-3.4475
0.02825	-3.44834
0.0283	-3.44918
0.02835	-3.45001
0.0284	-3.45085
0.02845	-3.45168
0.0285	-3.45251
0.02855	-3.45335
0.0286	-3.45418
0.02865	-3.45501
0.0287	-3.45584
0.02875	-3.45666
0.0288	-3.45749
0.02885	-3.45832
0.0289	-3.45914
0.02895	-3.45997
0.029	-3.46079
0.02905	-3.46161
0.0291	-3.46244
0.02915	-3.46326
0.0292	-3.46408
0.02925	-3.4649
0.0293	-3.46572
0.02935	-3.46653
0.0294	-3.46735
0.02945	-3.46816
0.0295	-3.46895
0.02955	-3.46974
0.0296	-3.47052
0.02965	-3.4713
0.0297	-3.47209
0.02975	-3.47287
0.0298	-3.47365
0.02985	-3.47443
0.0299	-3.4752
0.02995	-3.47598
0.03	-3.47676
0.03005	-3.47753
0.0301	-3.47831
0.03015	-3.47908
0.0302	-3.47986
0.03025	-3.48063
0.0303	-3.4814
0.03035	-3.48218
0.0304	-3.48295
0.03045	-3.48372
0.0305	-3.48449
0.03055	-3.48525
0.0306	-3.48602
0.03065	-3.48679
0.0307	-3.48755
0.03075	-3.48832
0.0308	-3.48908
0.03085	-3.48985
0.0309	-3.49061
0.03095	-3.49137
0.031	-3.49214
0.03105	-3.4929
0.0311	-3.49366
0.03115	-3.49442
0.0312	-3.49517
0.03125	-3.49593
0.0313	-3.49669
0.03135	-3.49745
0.0314	-3.4982
0.03145	-3.49896
0.0315	-3.49971
0.03155	-3.50046
0.0316	-3.50122
0.03165	-3.50197
0.0317	-3.50272
0.03175	-3.50347
0.0318	-3.50422
0.03185	-3.50497
0.0319	-3.50572
0.03195	-3.50646
0.032	-3.50721
0.03205	-3.50796
0.0321	-3.5087
0.03215	-3.50944
0.0322	-3.51019
0.03225	-3.51093
0.0323	-3.51167
0.03235	-3.51242
0.0324	-3.51316
0.03245	-3.5139
0.0325	-3.51464
0.03255	-3.51537
0.0326	-3.51611
0.03265	-3.51685
0.0327	-3.51757
0.03275	-3.51828
0.0328	-3.51899
0.03285	-3.5197
0.0329	-3.5204
0.03295	-3.52111
0.033	-3.52182
0.03305	-3.52253
0.0331	-3.52323
0.03315	-3.52394
0.0332	-3.52464
0.03325	-3.52534
0.0333	-3.52605
0.03335	-3.52675
0.0334	-3.52745
0.03345	-3.52815
0.0335	-3.52885
0.03355	-3.52955
0.0336	-3.53025
0.03365	-3.53095
0.0337	-3.53165
0.03375	-3.53235
0.0338	-3.53304
0.03385	-3.53374
0.0339	-3.53443
0.03395	-3.53513
0.034	-3.53582
0.03405	-3.53652
0.0341	-3.53721
0.03415	-3.5379
0.0342	-3.53859
0.03425	-3.53928
0.0343	-3.53997
0.03435	-3.54066
0.0344	-3.54135
0.03445	-3.54204
0.0345	-3.54273
0.03455	-3.54342
0.0346	-3.5441
0.03465	-3.54479
0.0347	-3.54548
0.03475	-3.54616
0.0348	-3.54684
0.03485	-3.54753
0.0349	-3.54821
0.03495	-3.54889
0.035	-3.54958
0.03505	-3.55026
0.0351	-3.55094
0.03515	-3.55162
0.0352	-3.5523
0.03525	-3.55297
0.0353	-3.55365
0.03535	-3.55433
0.0354	-3.55501
0.03545	-3.55568
0.0355	-3.55636
0.03555	-3.55703
0.0356	-3.55771
0.03565	-3.55838
0.0357	-3.55906
0.03575	-3.55973
0.0358	-3.5604
0.03585	-3.56107
0.0359	-3.56174
0.03595	-3.56241
0.036	-3.56308
0.03605	-3.56375
0.0361	-3.5644
0.03615	-3.56505
0.0362	-3.5657
0.03625	-3.56634
0.0363	-3.56698
0.03635	-3.56763
0.0364	-3.56827
0.03645	-3.56891
0.0365	-3.56956
0.03655	-3.5702
0.0366	-3.57084
0.03665	-3.57148
0.0367	-3.57212
0.03675	-3.57276
0.0368	-3.5734
0.03685	-3.57404
0.0369	-3.57467
0.03695	-3.57531
0.037	-3.57595
0.03705	-3.57658
0.0371	-3.57722
0.03715	-3.57786
0.0372	-3.57849
0.03725	-3.57912
0.0373	-3.57976
0.03735	-3.58039
0.0374	-3.58102
0.03745	-3.58166
0.0375	-3.58229
0.03755	-3.58292
0.0376	-3.58355
0.03765	-3.58418
0.0377	-3.58481
0.03775	-3.58544
0.0378	-3.58607
0.03785	-3.58669
0.0379	-3.58732
0.03795	-3.58795
0.038	-3.58857
0.03805	-3.5892
0.0381	-3.58982
0.03815	-3.59045
0.0382	-3.59107
0.03825	-3.5917
0.0383	-3.59232
0.03835	-3.59294
0.0384	-3.59357
0.03845	-3.59419
0.0385	-3.59481
0.03855	-3.59543
0.0386	-3.59605
0.03865	-3.59667
0.0387	-3.59729
0.03875	-3.59791
0.0388	-3.59853
0.03885	-3.59914
0.0389	-3.59976
0.03895	-3.60038
0.039	-3.60099
0.03905	-3.60161
0.0391	-3.60222
0.03915	-3.60284
0.0392	-3.60345
0.03925	-3.60407
0.0393	-3.60468
0.03935	-3.60529
0.0394	-3.6059
0.03945	-3.60651
0.0395	-3.60713
0.03955	-3.60774
0.0396	-3.60835
0.03965	-3.60896
0.0397	-3.60955
0.03975	-3.61014
0.0398	-3.61073
0.03985	-3.61132
0.0399	-3.61191
0.03995	-3.61249
0.04	-3.61308
