x 	 analitycal w t = 0.49999	KMB w t = 0.49999	analitycal w t = 0.99999	KMB w t = 0.99999	analitycal w t = 1.99998	KMB w t = 1.99998
1.66	0.693223	0.693224	0.614024	0.614025	0.553374	0.553374
1.665	0.696068	0.696069	0.616702	0.616702	0.55585	0.55585
1.67	0.69889	0.698891	0.61936	0.619361	0.558309	0.558309
1.675	0.701689	0.70169	0.622001	0.622001	0.560753	0.560753
1.68	0.704464	0.704465	0.624623	0.624623	0.563181	0.563182
1.685	0.707217	0.707218	0.627227	0.627227	0.565594	0.565595
1.69	0.709947	0.709948	0.629813	0.629813	0.567992	0.567992
1.695	0.712654	0.712655	0.632381	0.632381	0.570375	0.570375
1.7	0.715339	0.715341	0.634932	0.634932	0.572743	0.572743
1.705	0.718002	0.718004	0.637465	0.637465	0.575096	0.575096
1.71	0.720643	0.720645	0.63998	0.639981	0.577434	0.577434
1.715	0.723263	0.723264	0.642479	0.642479	0.579757	0.579757
1.72	0.72586	0.725861	0.64496	0.644961	0.582066	0.582067
1.725	0.728436	0.728437	0.647425	0.647425	0.584361	0.584361
1.73	0.730991	0.730992	0.649872	0.649872	0.586642	0.586642
1.735	0.733524	0.733526	0.652303	0.652303	0.588908	0.588908
1.74	0.736037	0.736038	0.654717	0.654718	0.59116	0.59116
1.745	0.738529	0.73853	0.657115	0.657115	0.593399	0.593399
1.75	0.741	0.741001	0.659496	0.659497	0.595623	0.595624
1.755	0.74345	0.743452	0.661862	0.661862	0.597834	0.597835
1.76	0.745881	0.745882	0.664211	0.664211	0.600032	0.600032
1.765	0.748291	0.748292	0.666544	0.666545	0.602216	0.602216
1.77	0.750681	0.750682	0.668862	0.668862	0.604386	0.604387
1.775	0.753051	0.753052	0.671164	0.671164	0.606544	0.606544
1.78	0.755401	0.755402	0.67345	0.67345	0.608688	0.608688
1.785	0.757732	0.757733	0.675721	0.675721	0.610819	0.61082
1.79	0.760043	0.760044	0.677976	0.677976	0.612938	0.612938
1.795	0.762335	0.762336	0.680216	0.680217	0.615043	0.615043
1.8	0.764608	0.764609	0.682441	0.682442	0.617136	0.617136
1.805	0.766861	0.766863	0.684651	0.684652	0.619216	0.619216
1.81	0.769096	0.769098	0.686847	0.686847	0.621284	0.621284
1.815	0.771313	0.771314	0.689027	0.689028	0.623339	0.623339
1.82	0.77351	0.773511	0.691193	0.691193	0.625382	0.625382
1.825	0.775689	0.775691	0.693344	0.693345	0.627413	0.627413
1.83	0.77785	0.777851	0.695481	0.695481	0.629431	0.629432
1.835	0.779993	0.779994	0.697603	0.697604	0.631438	0.631438
1.84	0.782118	0.782119	0.699712	0.699712	0.633433	0.633433
1.845	0.784224	0.784225	0.701806	0.701806	0.635415	0.635416
1.85	0.786313	0.786314	0.703886	0.703886	0.637386	0.637387
1.855	0.788385	0.788386	0.705952	0.705953	0.639346	0.639346
1.86	0.790439	0.79044	0.708005	0.708005	0.641294	0.641294
1.865	0.792475	0.792476	0.710043	0.710044	0.64323	0.64323
1.87	0.794494	0.794495	0.712068	0.712069	0.645155	0.645155
1.875	0.796496	0.796498	0.71408	0.714081	0.647068	0.647068
1.88	0.798482	0.798483	0.716078	0.716079	0.64897	0.648971
1.885	0.80045	0.800451	0.718063	0.718064	0.650862	0.650862
1.89	0.802402	0.802403	0.720035	0.720035	0.652742	0.652742
1.895	0.804337	0.804338	0.721993	0.721994	0.654611	0.654611
1.9	0.806255	0.806256	0.723939	0.723939	0.656469	0.656469
1.905	0.808157	0.808158	0.725871	0.725872	0.658316	0.658317
1.91	0.810043	0.810044	0.727791	0.727792	0.660153	0.660153
1.915	0.811913	0.811914	0.729698	0.729699	0.661979	0.661979
1.92	0.813767	0.813768	0.731592	0.731593	0.663794	0.663795
1.925	0.815605	0.815606	0.733474	0.733475	0.665599	0.6656
1.93	0.817427	0.817428	0.735343	0.735344	0.667394	0.667394
1.935	0.819233	0.819235	0.7372	0.737201	0.669178	0.669178
1.94	0.821024	0.821026	0.739045	0.739045	0.670952	0.670952
1.945	0.8228	0.822801	0.740877	0.740878	0.672716	0.672716
1.95	0.82456	0.824561	0.742698	0.742698	0.674469	0.674469
1.955	0.826305	0.826307	0.744506	0.744506	0.676213	0.676213
1.96	0.828036	0.828037	0.746302	0.746302	0.677946	0.677946
1.965	0.829751	0.829752	0.748086	0.748087	0.67967	0.67967
