t 	 error 
0.02252	-3.72905
0.02256	-3.7299
0.0226	-3.73074
0.02264	-3.73158
0.02268	-3.73242
0.02272	-3.73325
0.02276	-3.73409
0.0228	-3.73493
0.02284	-3.73577
0.02288	-3.7366
0.02292	-3.73744
0.02296	-3.73827
0.023	-3.73911
0.02304	-3.73994
0.02308	-3.74077
0.02312	-3.7416
0.02316	-3.74243
0.0232	-3.74326
0.02324	-3.74409
0.02328	-3.74492
0.02332	-3.74575
0.02336	-3.74658
0.0234	-3.7474
0.02344	-3.74823
0.02348	-3.74905
0.02352	-3.74988
0.02356	-3.7507
0.0236	-3.75152
0.02364	-3.75235
0.02368	-3.75317
0.02372	-3.75399
0.02376	-3.75481
0.0238	-3.75563
0.02384	-3.75645
0.02388	-3.75726
0.02392	-3.75808
0.02396	-3.7589
0.024	-3.75971
0.02404	-3.76053
0.02408	-3.76134
0.02412	-3.76213
0.02416	-3.76291
0.0242	-3.76369
0.02424	-3.76448
0.02428	-3.76526
0.02432	-3.76604
0.02436	-3.76682
0.0244	-3.7676
0.02444	-3.76838
0.02448	-3.76916
0.02452	-3.76994
0.02456	-3.77072
0.0246	-3.77149
0.02464	-3.77227
0.02468	-3.77305
0.02472	-3.77382
0.02476	-3.7746
0.0248	-3.77537
0.02484	-3.77614
0.02488	-3.77692
0.02492	-3.77769
0.02496	-3.77846
0.025	-3.77923
0.02504	-3.78
0.02508	-3.78077
0.02512	-3.78154
0.02516	-3.78231
0.0252	-3.78308
0.02524	-3.78384
0.02528	-3.78461
0.02532	-3.78538
0.02536	-3.78614
0.0254	-3.78691
0.02544	-3.78767
0.02548	-3.78843
0.02552	-3.7892
0.02556	-3.78996
0.0256	-3.79072
0.02564	-3.79148
0.02568	-3.79224
0.02572	-3.793
0.02576	-3.79376
0.0258	-3.79452
0.02584	-3.79528
0.02588	-3.79603
0.02592	-3.79679
0.02596	-3.79755
0.026	-3.7983
0.02604	-3.79904
0.02608	-3.79977
0.02612	-3.80049
0.02616	-3.80122
0.0262	-3.80195
0.02624	-3.80268
0.02628	-3.8034
0.02632	-3.80413
0.02636	-3.80485
0.0264	-3.80558
0.02644	-3.8063
0.02648	-3.80702
0.02652	-3.80775
0.02656	-3.80847
0.0266	-3.80919
0.02664	-3.80991
0.02668	-3.81063
0.02672	-3.81135
0.02676	-3.81207
0.0268	-3.81279
0.02684	-3.81351
0.02688	-3.81423
0.02692	-3.81494
0.02696	-3.81566
0.027	-3.81638
0.02704	-3.81709
0.02708	-3.81781
0.02712	-3.81852
0.02716	-3.81924
0.0272	-3.81995
0.02724	-3.82066
0.02728	-3.82137
0.02732	-3.82209
0.02736	-3.8228
0.0274	-3.82351
0.02744	-3.82422
0.02748	-3.82493
0.02752	-3.82564
0.02756	-3.82635
0.0276	-3.82705
0.02764	-3.82776
0.02768	-3.82847
0.02772	-3.82917
0.02776	-3.82988
0.0278	-3.83059
0.02784	-3.83129
0.02788	-3.83199
0.02792	-3.8327
0.02796	-3.8334
0.028	-3.8341
0.02804	-3.8348
0.02808	-3.83548
0.02812	-3.83615
0.02816	-3.83683
0.0282	-3.83751
0.02824	-3.83819
0.02828	-3.83886
0.02832	-3.83954
0.02836	-3.84021
0.0284	-3.84089
0.02844	-3.84156
0.02848	-3.84224
