t 	 error 
0.0806	-3.65511
0.0807	-3.65572
0.0808	-3.65633
0.0809	-3.65694
0.081	-3.65755
0.0811	-3.65816
0.0812	-3.65875
0.0813	-3.65935
0.0814	-3.65994
0.0815	-3.66054
0.0816	-3.66113
0.0817	-3.66173
0.0818	-3.66232
0.0819	-3.66292
0.082	-3.66351
0.0821	-3.6641
0.0822	-3.66469
0.0823	-3.66528
0.0824	-3.66587
0.0825	-3.66647
0.0826	-3.66706
0.0827	-3.66764
0.0828	-3.66823
0.0829	-3.66882
0.083	-3.66941
0.0831	-3.67
0.0832	-3.67059
0.0833	-3.67117
0.0834	-3.67176
0.0835	-3.67234
0.0836	-3.67293
0.0837	-3.67351
0.0838	-3.6741
0.0839	-3.67468
0.084	-3.67527
0.0841	-3.67585
0.0842	-3.67643
0.0843	-3.67701
0.0844	-3.67759
0.0845	-3.67818
0.0846	-3.67876
0.0847	-3.67934
0.0848	-3.67992
0.0849	-3.6805
0.085	-3.68107
0.0851	-3.68165
0.0852	-3.68223
0.0853	-3.68281
0.0854	-3.68338
0.0855	-3.68396
0.0856	-3.68454
0.0857	-3.68511
0.0858	-3.68569
0.0859	-3.68626
0.086	-3.68684
0.0861	-3.68741
0.0862	-3.68798
0.0863	-3.68856
0.0864	-3.68913
0.0865	-3.6897
0.0866	-3.69027
0.0867	-3.69084
0.0868	-3.6914
0.0869	-3.69196
0.087	-3.69252
0.0871	-3.69308
0.0872	-3.69363
0.0873	-3.69419
0.0874	-3.69475
0.0875	-3.6953
0.0876	-3.69586
0.0877	-3.69642
0.0878	-3.69697
0.0879	-3.69753
0.088	-3.69808
0.0881	-3.69864
0.0882	-3.69919
0.0883	-3.69974
0.0884	-3.7003
0.0885	-3.70085
0.0886	-3.7014
0.0887	-3.70195
0.0888	-3.70251
0.0889	-3.70306
0.089	-3.70361
0.0891	-3.70416
0.0892	-3.70471
0.0893	-3.70526
0.0894	-3.70581
0.0895	-3.70635
0.0896	-3.7069
0.0897	-3.70745
0.0898	-3.708
0.0899	-3.70854
0.09	-3.70909
0.0901	-3.70964
0.0902	-3.71018
0.0903	-3.71073
0.0904	-3.71127
0.0905	-3.71182
0.0906	-3.71236
0.0907	-3.7129
0.0908	-3.71345
0.0909	-3.71399
0.091	-3.71453
0.0911	-3.71507
0.0912	-3.71562
0.0913	-3.71616
0.0914	-3.7167
0.0915	-3.71724
0.0916	-3.71778
0.0917	-3.71832
0.0918	-3.71886
0.0919	-3.7194
0.092	-3.71993
0.0921	-3.72047
0.0922	-3.72101
0.0923	-3.72155
0.0924	-3.72208
0.0925	-3.72261
0.0926	-3.72314
0.0927	-3.72367
0.0928	-3.72419
0.0929	-3.72472
0.093	-3.72524
0.0931	-3.72576
0.0932	-3.72629
0.0933	-3.72681
0.0934	-3.72734
0.0935	-3.72786
0.0936	-3.72838
0.0937	-3.7289
0.0938	-3.72942
0.0939	-3.72995
0.094	-3.73047
0.0941	-3.73099
0.0942	-3.73151
0.0943	-3.73203
0.0944	-3.73255
0.0945	-3.73307
0.0946	-3.73359
0.0947	-3.7341
0.0948	-3.73462
0.0949	-3.73514
0.095	-3.73566
0.0951	-3.73617
0.0952	-3.73669
0.0953	-3.73721
0.0954	-3.73772
0.0955	-3.73824
0.0956	-3.73875
0.0957	-3.73927
0.0958	-3.73978
0.0959	-3.7403
0.096	-3.74081
0.0961	-3.74132
0.0962	-3.74184
0.0963	-3.74235
0.0964	-3.74286
0.0965	-3.74337
0.0966	-3.74388
0.0967	-3.7444
0.0968	-3.74491
0.0969	-3.74542
0.097	-3.74593
0.0971	-3.74644
0.0972	-3.74695
0.0973	-3.74745
0.0974	-3.74796
0.0975	-3.74847
0.0976	-3.74898
0.0977	-3.74949
0.0978	-3.74999
0.0979	-3.7505
0.098	-3.75101
0.0981	-3.75151
0.0982	-3.75202
0.0983	-3.75252
0.0984	-3.75303
0.0985	-3.75353
0.0986	-3.75402
0.0987	-3.75452
0.0988	-3.75501
