x 	 analitycal w t = 0.5	PCMN_THOMAS w t = 0.5	analitycal w t = 1	PCMN_THOMAS w t = 1	analitycal w t = 1.99999	PCMN_THOMAS w t = 1.99999
1.66	0.693221	0.693224	0.614023	0.614025	0.553374	0.553374
1.665	0.696066	0.696069	0.616701	0.616702	0.555849	0.55585
1.67	0.698888	0.698891	0.619359	0.619361	0.558309	0.558309
1.675	0.701686	0.701689	0.622	0.622001	0.560753	0.560753
1.68	0.704462	0.704465	0.624622	0.624623	0.563181	0.563182
1.685	0.707214	0.707218	0.627226	0.627227	0.565594	0.565595
1.69	0.709944	0.709948	0.629812	0.629813	0.567992	0.567992
1.695	0.712652	0.712655	0.63238	0.632381	0.570375	0.570375
1.7	0.715337	0.71534	0.634931	0.634932	0.572742	0.572743
1.705	0.718	0.718003	0.637464	0.637465	0.575095	0.575096
1.71	0.720641	0.720644	0.639979	0.639981	0.577433	0.577434
1.715	0.72326	0.723263	0.642478	0.642479	0.579757	0.579758
1.72	0.725858	0.725861	0.644959	0.644961	0.582066	0.582067
1.725	0.728434	0.728437	0.647423	0.647425	0.584361	0.584361
1.73	0.730988	0.730992	0.649871	0.649872	0.586641	0.586642
1.735	0.733522	0.733525	0.652302	0.652303	0.588908	0.588908
1.74	0.736034	0.736038	0.654716	0.654717	0.59116	0.591161
1.745	0.738526	0.73853	0.657114	0.657115	0.593398	0.593399
1.75	0.740997	0.741001	0.659495	0.659497	0.595623	0.595624
1.755	0.743448	0.743451	0.661861	0.661862	0.597834	0.597835
1.76	0.745878	0.745881	0.66421	0.664211	0.600032	0.600032
1.765	0.748288	0.748291	0.666543	0.666545	0.602216	0.602216
1.77	0.750678	0.750681	0.668861	0.668862	0.604386	0.604387
1.775	0.753048	0.753051	0.671162	0.671164	0.606544	0.606544
1.78	0.755398	0.755402	0.673449	0.67345	0.608688	0.608688
1.785	0.757729	0.757732	0.675719	0.675721	0.610819	0.61082
1.79	0.76004	0.760044	0.677975	0.677976	0.612937	0.612938
1.795	0.762332	0.762336	0.680215	0.680217	0.615043	0.615044
1.8	0.764605	0.764608	0.68244	0.682442	0.617136	0.617136
1.805	0.766859	0.766862	0.68465	0.684652	0.619216	0.619217
1.81	0.769094	0.769097	0.686846	0.686847	0.621284	0.621284
1.815	0.77131	0.771313	0.689026	0.689027	0.623339	0.623339
1.82	0.773508	0.773511	0.691192	0.691193	0.625382	0.625382
1.825	0.775687	0.77569	0.693343	0.693344	0.627413	0.627413
1.83	0.777848	0.777851	0.69548	0.695481	0.629431	0.629432
1.835	0.77999	0.779994	0.697602	0.697604	0.631438	0.631438
1.84	0.782115	0.782118	0.699711	0.699712	0.633432	0.633433
1.845	0.784222	0.784225	0.701805	0.701806	0.635415	0.635416
1.85	0.786311	0.786314	0.703885	0.703886	0.637386	0.637387
1.855	0.788382	0.788385	0.705951	0.705953	0.639345	0.639346
1.86	0.790436	0.790439	0.708004	0.708005	0.641293	0.641294
1.865	0.792472	0.792476	0.710042	0.710044	0.643229	0.64323
